Data,Feedback,Perguntas,Sentimento
18/04/2020,"Eu achei muito boa a palestra, acho muito importante tudo o que ela trouxe. Acho que a qui fica um feedback mais pessoal, mas que pode ser um tema para ser tratado em algum encontro. Eu atualmente estou desempregado, e (ainda bem) tinha minha reserva de emergência ou reserva técnica como apresentado hoje. Porém, o meu desafio atual e acredito que pode ser de mais pessoas é como buscar outras formas de ganhar dinheiro nesse momento, visto que o meu problema atual não está em não poupar, mas sim, em não receber!",Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,negativo
18/04/2020,"amei. eu estava realmente perdida nas minha vida financeira e agora tenho um norte com a planilha que disponibilizou, e as dicas que ela deu. amei.",Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,positivo
18/04/2020,"Gostei bastante do conteúdo da palestra. A Cristiane  fez uma bela apresentação e soube trazer todas informações de uma forma clara, compreensível e com formas práticas de como implementar esse valioso conteúdo nas nossas vidas.  Um ponto de destaque de forma positiva foram as planilhas, gostei bastante. ",Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,positivo
18/04/2020,Amei muito,Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,positivo
18/04/2020,"Foi muito boa, eu acredito que faltou um pouco mais de engajamento na primeira parte, mas depois do intervalo fluiu bem.",Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,positivo
18/04/2020,Abriu minha mente em relação a inteligência financeira. Foi muito bom ter participado da palestra.,Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,positivo
18/04/2020,"Eu amei, apesar de momento não conseguir poupar, me incentivou muito.",Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,positivo
18/04/2020,"Não tenho críticas, foi ótima.",Sobre a palestra da Cristiane Guimarães: Educação Financeira. Você tem críticas ou comentários sobre a palestra?,positivo
25/04/2020,"Achei que as informações sobre a explicação do mapa foram muito vagas, principalmente na apresentação da semana passada. Hoje achei o resumo bem mais efetivo do que a apresentação da semana passada que acredito que deve ter sido mais completa. A ajuda das mentoras foi fundamental pra me nortear sobre como começar a fazer, porém se for pra eu ""ver o slide"" e depois tirar dúvidas, acredito que não seja necessário a participação na palestra.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,negativo
25/04/2020,"Sim, foi o suficiente",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,Ótima explicação do Design Thinking por parte da palestrante.,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,"Sim, o conteúdo foi muito bom, as palestrante trouxeram muitos exemplos e foram bem didaticas.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,Sim,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,sim,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,Conteúdo suficiente,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,"Achei que o tempo foi mt pouco, acredito que uma semana para fazer pessoalmente da, mas online foi dificil e me senti um pouco jogada",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,negativo
25/04/2020,As apresentações sobre Design Thinking do penúltimo encontro ajudaram na montagem das questões para entrevista com os moradores e nas discussões do grupo para construção/definição da persona durante a semana passada. E a apresentação de hoje ajudou a consolidar a construção da persona e traçar esboços de soluções.,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,"Foi sim, com as orientações apresentadas vai ser possível direcionar o mapeamento com mais exatidão.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,"O conteúdo foi ótimo, a palestra que tivemos a respeito foi muito construtiva.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,"O conteúdo foi muito bom, porém foi bastante corrido. Acho que as vezes por ser tão rápido, pode comprometer um pouco o resultado...",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,negativo
25/04/2020,Sim,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,O conteúdo  esta muito completo   e de fácil compreensão.,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,"O conteúdo serviu de apoio para nossa reunião, deixando as ideias mais claras e palpáveis.
As ferramentas apresentadas como os 6 chapéus serão extremamente importantes para transformar nossas idéias em realidades, dando o direcionamento do caminha a ser percorrido e onde queremos chegar.   ",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,"Sim, acho que o conteúdo foi suficiente. Mas como era minha primeira vez, normal ter encontrado algumas dificuldades. Mas foi muito legal, e adorei as novas ferramentas de Design que estão usando para elaboração do nosso projeto.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,"Bastante, pessoal mega conhece a ferramenta e deu varias dicas de como ultiliza-la",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,"O conteudo foi de extrema valia e passado de forma clara, foi muito bom mesmo!",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,"Sim muito, o complicado está sendo as respostas dos moradores mesmo ",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,negativo
25/04/2020,Não conhecia nada sobre o assunto! Foi uma boa porta de entrada.,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,"Acredito que o mapeamento é um dos mais importantes passos de qualquer projeto, pois envolver um ""start de possibilidades e de caminhos que o projeto poderá seguir"". Com isso, vejo que a construção da persona, bem como todo o plano de fundo que está inserido essa persona traz uma noção do todo. Isso é importante, pois há uma amplitude muito grande de fatores, desde algumas características pessoais até a estrutura do local. Eu gosto sempre antes de qualquer projeto, recorrer ao mapeamento pra enxergar possibilidades de soluções/caminhos ocultas que foram inibidas num primeiro momento e que certamente fará falta nas fases posteriores do projeto.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,Sim. esclareceu algumas dúvidas.,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,"   Sim. De forma geral gostei bastante do conteudo de hoje, convidada link muito bem o conteúdo com nossa necessidade no projeto, trazendo até alguns exemplos bem interessantes, como também soube universalizar muito bem o conteúdo, estava da fácil e acessível assimilação.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,Muito! Estou me divertindo e gostando muito do projeto e do grupo.,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,"Sim, porém mudamos a estratégia de atuação para sermos mais efetivos",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/04/2020,"Sim, mas apesar disso, ainda encontramos algumas dificuldades no mapeamento.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,negativo
26/04/2020,Foi suficiente,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
26/04/2020,Conteúdo muito bem explicitado. O conteúdo foi apresentado por pessoas muito competentes na área de design. Achei legal demais.,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
26/04/2020,Sim,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
27/04/2020,Sim,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
28/04/2020,Sim! Deu suporte técnico para que o projeto tenha a qualidade necessária,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
28/04/2020,"Sim, a partir dela o grupo pode avançar",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
09/05/2020,Achei o suficiente embora muita técnica de uma so vez.,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,negativo
27/06/2020,"Sim, estou com gostando do projeto.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte ao mapeamento? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,Sim,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,Sim. A fase de tirar do papel é um pouco complexa e exige mais tempo.,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,"Sim, hoje eu tive uma espécie de clareza em como fazer as ideias irem para o plano real. Agora com as ferramentas consigo ter ações claras. ",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,"Adorei palestra do Russo, trouxe uma visão muito legal e consolidou o Design Thinking que já havíamos visto.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,"Sim, as ferramentas serviram para validação das ideias",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,"Mais o menos, grupo desunido, quase ninguem engajado, estou mt chateada",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,negativo
16/05/2020,"Acredito que o grupo atingiu os objetivos para esta etapa, apesar de no decorrer das duas semanas ter sentido que insegurança quanto as ideias.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,"Sim,  a etapa me deu suporte para esta etapa.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,"Muito, o conteudo foi essencial para o nosso trabalho",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,Tema abordou muito bem a fase que iremos passar.,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,"Sim, as palestras explicando melhor as etapas, ensinando ferramentas e tudo mais foram bem importantes para 'colocar a mão na massa'.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,Sim,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,Sim,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,Sim,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,"Fiquei meio perdida, novamente.. não sei se não estou concentrada o suficiente, mas acho que passam muito rápido pelos temas ",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,negativo
16/05/2020,"Sim, acredito que o conteúdo foi bem posicionado para esse momento.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,"Acredito que foi muito suficiente sim, bastante ferramentas , só acho que faltou mais matérias de métricas , mas medir sucesso e tudo mais. ",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,negativo
16/05/2020,"A apresentação do Russo foi muito boa, e acho que contribuiu bastante por trazer ferramentas que ajudam praticamente todas as ideias. Seria legal poder contar com ele para tirar dúvidas ao longo da semana.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,Siim,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,"Sim, serviu para tirar algumas dúvidas que eu estava em relação a prototipação.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,"Sim, atendeu às minhas expectativas ",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,Sim acho que todos desenvolveram  muito bem essa etapa  de ideação,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
16/05/2020,Sim,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
17/05/2020,"Atingiu sim, o conteúdo ajudou bastante na hora de executar a etapa.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
17/05/2020,"Sim! A conversa foi ótima e fez com que a gente tivesse consciência do que precisamos entregar, porque estava muito abstrato.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
17/05/2020,"Acredito que está foi uma das etapas mais difíceis para mim. Mesmo pesquisando conversando com alguns moradores da comunidade ainda existem alguns viés, acreditamos que a nossa ideia pode resolver o problema da comunidade, mas será que estamos optando pela solução que é confortável e fácil de se resolver  ? É necessário unirmos a nossas ideias ao real sentimento das pessoas.  ",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,negativo
18/05/2020,"Sim, contribuiu positivamente para engajar no projeto.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
19/05/2020,Essas ferramentas são de extrema importância pra nós ajudar a concluir o projeto. Principalmente por conta que sem estratégias e ferramentas ficaria quase impossível elaboramos uma proposta que fosse realmente viável e pudesse estar sempre em questionamento de é viável ou não.,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
19/05/2020,Sim. Tivemos várias ideias. Está uma experiência incrível!,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
20/05/2020,"Sim, foi um conteudo muito util, inclusive utilizamos algumas das ferramentas apresentadas para ideacao do nosso projeto.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
23/05/2020,Não posso falar sobre esse conteúdo.,O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
25/05/2020,"Sim, está etapa contribuiu muito para o andamento do projeto.",O CONTEÚDO nesta etapa do VimVer foi o suficiente; atingiu suas expectativas para dar suporte a IDEAÇÃO? OBS: Etapa iniciada no penúltimo encontro.,positivo
23/05/2020,"Só tenho elogios a palestra da Renata foi ótima, abordava bastante o feedback estudava sobre mas aprendi MUITAS coisas e que vão agregar muito para o meu crescimento pessoal e profissional.",Sobre a palestra da Renata Andraus: Como dar e receber Feedback. Você tem críticas ou comentários sobre a palestra?,positivo
